countrycode,country,currency_unit,year,rgdpe,pop,emp,avh,hc,rgdpna,xr
EST,Estonia,Euro,2019,49209.031,1.325648,.67297554,1797.214535502509,3.6594911,44788.539,.893276257067393
FIN,Finland,Euro,2019,261017.34,5.532156,2.6737053,1590.694538098449,3.504452,248022.42,.893276257067393
FRA,France,Euro,2019,3018884.8,67.351247,28.532564,1504.912352837814,3.2301373,2965338.5,.893276257067393
GBR,United Kingdom,Pound Sterling,2019,3118991.3,67.53017199999999,32.982498,1667.947711421929,3.773596,3016695.3,.783445110011929
GRC,Greece,Euro,2019,302222.28,10.473455,4.2350726,2036.463520670303,3.1353176,289493.22,.893276257067393
HKG,"China, Hong Kong SAR",Hong Kong Dollar,2019,440554.28,7.436153999999999,3.8638103,2147.574361716317,3.2678838,370482.56,7.83591666666667
HRV,Croatia,Croatian Kuna,2019,113633.01,4.130304,1.8176243,1831.323410077653,3.618902,112132.88,6.62254516666667
HUN,Hungary,Forint,2019,322164.72,9.684678999999999,4.7115769,1725.227964806912,3.4171386,288606.09,290.66
IDN,Indonesia,Rupiah,2019,3104438.8,270.625568,131.17068,2019.923395395053,2.2881651,3110469.5,14147.6713605454
IND,India,Indian Rupee,2019,8945547,1366.417754,497.61572,2122.940682484594,2.1711645,9163052,70.4199690864981
IRL,Ireland,Euro,2019,499741.09,4.882495,2.2604477,1771.97794230727,3.1855168,472685.66,.893276257067393
ISL,Iceland,Iceland Krona,2019,19886.881,.339031,.19233808,1454.494825036964,3.282233,17635.359,122.606773601907
ISR,Israel,New Israeli Sheqel,2019,364017.47,8.519377,4.2287102,1900.874778819607,3.8915401,344039.44,3.56452734661093
ITA,Italy,Euro,2019,2508404.5,60.550075,25.596329,1717.833817652757,3.158385,2467813.5,.893276257067393
JPN,Japan,Yen,2019,5028348,126.860301,69.976692,1691.085259503852,3.5939872,5099254,109.009665900863
KHM,Cambodia,Riel,2019,69445.992,16.486542,8.7314634,2474.911893353006,1.9636757,72751.438,4059.86401689708
KOR,Republic of Korea,Won,2019,2090945.9,51.225308,26.798534,1979.526257573522,3.7651229,2193132.3,1165.49890350877
LKA,Sri Lanka,Sri Lanka Rupee,2019,271111,21.323733,8.1804962,1922.513181060013,2.8580375,284266.69,178.744925045848
LTU,Lithuania,Euro,2019,103480.19,2.759627,1.3795286,1886.084473733543,3.296741,92056.617,.893276257067393
LUX,Luxembourg,Euro,2019,69541.328,.615729,.46066284,1505.558542092248,3.619643,56563.883,.893276257067393
LVA,Latvia,Euro,2019,59915.996,1.906743,.89658874,1864.975821243955,3.1564202,56261.555,.893276257067393
MEX,Mexico,Mexican Peso,2019,2463237.8,127.575529,54.993595,2137,2.7770529,2406409.8,19.2636333333333
MLT,Malta,Euro,2019,22352.879,.440372,.22019051,1915.416716825167,3.163501,17294.842,.893276257067393
MMR,Myanmar,Kyat,2019,260493.55,54.04542,22.109308,2447.057659493702,1.8438333,279259,1518.25511666667
MYS,Malaysia,Malaysian Ringgit,2019,892731,31.949777,15.118323,2197.058086374001,3.0786114,821182.81,4.14246973569731
NLD,Netherlands,Euro,2019,958314.63,17.09713,9.4569082,1439.731516290727,3.3968785,960770.88,.893276257067393
NOR,Norway,Norwegian Krone,2019,336415.41,5.378857,2.8536618,1384.073291050035,3.6628432,377715.34,8.800000000000001
NZL,New Zealand,New Zealand Dollar,2019,200579.23,4.783062999999999,2.5060809,1778.98443058943,3.4070551,196352.78,1.517875
PAK,Pakistan,Pakistan Rupee,2019,1036799.9,216.565318,63.085052,1966.907180460465,1.7707604,1078572.6,150.036253839864
PER,Peru,Nuevo Sol,2019,403546.34,32.510453,16.890404,2139.601759497094,2.8385301,399324.97,3.3372655465368
PHL,Philippines,Philippine Peso,2019,887058.5,108.116615,42.424801,2168.296500471067,2.7148802,929959.5,51.7957826517333
POL,Poland,Zloty,2019,1259693.8,37.887768,16.159107,2022.632231884766,3.4577584,1214221.5,3.839375
PRT,Portugal,Euro,2019,350395.38,10.226187,4.9615893,1864.58836048923,2.5127509,329200.75,.893276257067393
ROU,Romania,New Leu,2019,558259.56,19.364557,8.6802998,1791.735429172883,3.2730479,543143.13,4.237925
RUS,Russian Federation,Russian Ruble,2019,4197222.5,145.872256,71.670639,1965,3.4344079,4052184.5,64.7376583333333
SGP,Singapore,Singapore Dollar,2019,514376.31,5.804336999999999,3.7596037,2330.165874861756,4.3515682,484399.91,1.36415833333333
SVK,Slovakia,Euro,2019,176537.55,5.457013,2.4688609,1694.940165219095,3.8490355,153090.97,.893276257067393
SVN,Slovenia,Euro,2019,82556.5,2.078654,1.0468059,1592.933903673719,3.574908,70660.039,.893276257067393
SWE,Sweden,Swedish Krona,2019,560960.5,10.036379,5.0021367,1605.276602382856,3.4359863,532053.69,9.458349166666659
THA,Thailand,Baht,2019,1222506.5,69.62558199999999,37.540958,2092.990099810993,2.8044486,1229521.4,31.0476057805499
TUR,Turkey,New Turkish Lira,2019,2227538.3,83.429615,28.087334,1832,2.514292,2242847,5.67381930843574
TWN,Taiwan,New Taiwan Dollar,2019,1153761.1,23.596027,11.5,2085.135332531571,3.3576505,1127988.8,30.93
URY,Uruguay,Peso Uruguayo,2019,73450.5,3.461734,1.6353788,1532.513740476868,2.7764058,72155.945,35.255375
USA,United States,US Dollar,2019,20860506,329.064917,158.29959,1765.346390059217,3.7493415,20563592,1
VNM,Viet Nam,Dong,2019,750726.75,96.46210599999999,50.399563,2131.968231765835,2.869998,741653.56,23050.2416666667
ZAF,South Africa,Rand,2019,748940,58.55827,18.64271,2191.363361582188,2.9082024,732851.63,14.4484270548333
